user_id;gender;age;zipcode;occupation
1;1;12;48067;K-12 student
2;2;56;70072;sel1-e2ployed
3;2;25;55117;scientist
4;2;45;2460;executive/2anagerial
5;2;25;55455;writer
6;1;50;55117;ho2e2aker
7;2;35;6810;acade2ic/educator
8;2;25;11413;progra22er
9;2;25;61614;technician/engineer
10;1;35;95370;acade2ic/educator
11;1;25;4093;acade2ic/educator
12;2;25;32793;progra22er
13;2;45;93304;acade2ic/educator
14;2;35;60126;other or not speci1ied
15;2;25;22903;executive/2anagerial
16;1;35;20670;other or not speci1ied
17;2;50;95350;acade2ic/educator
18;1;18;95825;clerical/ad2in
19;2;1;48073;K-12 student
20;2;25;55113;sales/2arketing
21;2;18;99353;sel1-e2ployed
22;2;18;53706;scientist
23;2;35;90049;other or not speci1ied
24;1;25;10023;executive/2anagerial
25;2;18;1609;college/grad student
26;2;25;23112;executive/2anagerial
27;2;25;19130;lawyer
28;1;25;14607;acade2ic/educator
29;2;35;33407;executive/2anagerial
30;1;35;19143;executive/2anagerial
31;2;56;6840;executive/2anagerial
32;1;25;19355;other or not speci1ied
33;2;45;55421;clerical/ad2in
34;1;18;2135;other or not speci1ied
35;2;45;2482;acade2ic/educator
36;2;25;94123;clerical/ad2in
37;1;25;66212;ho2e2aker
38;1;18;2215;college/grad student
39;2;18;61820;college/grad student
40;2;45;10543;other or not speci1ied
41;1;18;15116;college/grad student
42;2;25;24502;1ar2er
43;2;25;60614;progra22er
44;2;45;98052;technician/engineer
45;1;45;94110;sel1-e2ployed
46;2;18;75602;une2ployed
47;2;18;94305;college/grad student
48;2;25;92107;college/grad student
49;2;18;77084;progra22er
50;1;25;98133;artist
51;1;1;10562;K-12 student
52;2;18;72212;college/grad student
53;2;25;96931;other or not speci1ied
54;2;50;56723;acade2ic/educator
55;1;35;55303;progra22er
56;2;35;60440;writer
57;2;18;30350;une2ployed
58;2;25;30303;artist
59;1;50;55413;acade2ic/educator
60;2;50;72118;acade2ic/educator
61;2;25;95122;technician/engineer
62;1;35;98105;clerical/ad2in
63;2;18;54902;college/grad student
64;2;18;53706;acade2ic/educator
65;2;35;55803;progra22er
66;2;25;57706;trades2an/cra1ts2an
67;1;50;60181;custo2er service
68;2;18;53706;college/grad student
69;1;25;2143;acade2ic/educator
70;2;18;53703;college/grad student
71;2;25;95008;sales/2arketing
72;1;45;55122;other or not speci1ied
73;2;18;53706;college/grad student
74;2;35;94530;sales/2arketing
75;1;1;1748;K-12 student
76;2;35;55413;executive/2anagerial
77;2;18;15321;college/grad student
78;1;45;98029;acade2ic/educator
79;1;45;98103;other or not speci1ied
80;2;56;49327;acade2ic/educator
81;1;25;60640;other or not speci1ied
82;2;25;48380;technician/engineer
83;1;25;94609;artist
84;2;18;53140;college/grad student
85;2;18;94945;college/grad student
86;1;1;54467;K-12 student
87;2;25;48360;sales/2arketing
88;1;45;2476;acade2ic/educator
89;1;56;85749;ho2e2aker
90;2;56;85749;retired
91;2;35;7650;executive/2anagerial
92;1;18;44243;college/grad student
93;2;25;95825;technician/engineer
94;2;25;28601;technician/engineer
95;2;45;98201;other or not speci1ied
96;1;25;78028;sel1-e2ployed
97;1;35;66210;clerical/ad2in
98;1;35;33547;executive/2anagerial
99;1;1;19390;K-12 student
100;2;35;95401;technician/engineer
101;1;18;33314;clerical/ad2in
102;2;35;20871;une2ployed
103;2;45;92104;executive/2anagerial
104;2;25;926;progra22er
105;2;45;90277;progra22er
106;1;35;79101;lawyer
107;2;45;63129;trades2an/cra1ts2an
108;2;25;30316;progra22er
109;2;45;92028;scientist
110;2;25;90803;artist
111;2;35;55416;scientist
112;2;25;97209;sel1-e2ployed
113;2;18;37032;progra22er
114;1;25;83712;artist
115;2;25;28083;technician/engineer
116;2;25;55744;technician/engineer
117;2;25;33314;technician/engineer
118;2;35;22315;technician/engineer
119;1;1;77515;K-12 student
120;2;25;27106;lawyer
121;2;35;75229;executive/2anagerial
122;1;18;94305;college/grad student
123;2;35;67208;ho2e2aker
124;2;56;91356;executive/2anagerial
125;2;45;1701;sales/2arketing
126;2;18;98117;ho2e2aker
127;1;45;1770;clerical/ad2in
128;2;56;37922;doctor/health care
129;2;25;20164;lawyer
130;2;35;50021;technician/engineer
131;2;18;6520;college/grad student
132;2;25;99709;technician/engineer
133;1;25;55071;other or not speci1ied
134;2;25;66212;other or not speci1ied
135;2;18;20006;college/grad student
136;2;18;21202;artist
137;1;45;78758;doctor/health care
138;2;18;22203;writer
139;1;25;45409;writer
140;1;35;55107;acade2ic/educator
141;2;35;62035;retired
142;2;25;10011;executive/2anagerial
143;2;18;64043;clerical/ad2in
144;2;25;29401;technician/engineer
145;2;18;19081;college/grad student
146;1;35;10954;writer
147;2;18;91360;college/grad student
148;2;50;57747;technician/engineer
149;2;25;29205;acade2ic/educator
150;2;35;98144;executive/2anagerial
151;1;25;85013;writer
152;2;18;48104;college/grad student
153;2;1;51537;K-12 student
154;2;50;94530;writer
155;2;35;7470;progra22er
156;1;45;14519;executive/2anagerial
157;2;35;12866;sel1-e2ployed
158;2;56;28754;executive/2anagerial
159;1;45;37922;other or not speci1ied
160;2;35;13021;executive/2anagerial
161;2;45;98107-2117;sel1-e2ployed
162;1;18;93117;college/grad student
163;2;18;85013;college/grad student
164;1;56;94566;retired
165;2;18;98502;sel1-e2ployed
166;2;18;92802;college/grad student
167;1;25;10022;lawyer
168;1;50;46970;other or not speci1ied
169;2;25;55439;executive/2anagerial
170;2;25;7002;lawyer
171;1;50;55441;technician/engineer
172;2;25;7661;clerical/ad2in
173;2;25;45237;other or not speci1ied
174;2;25;21203;sel1-e2ployed
175;1;25;95123;artist
176;1;18;55016;clerical/ad2in
177;2;50;54016;acade2ic/educator
178;2;56;53705;technician/engineer
179;2;25;2135;other or not speci1ied
180;2;45;1603;progra22er
181;2;18;33186;technician/engineer
182;2;18;3052;college/grad student
183;1;45;55407;acade2ic/educator
184;1;25;19001;other or not speci1ied
185;2;45;14468;other or not speci1ied
186;2;18;91767;custo2er service
187;1;45;94061;acade2ic/educator
188;2;56;79930;sel1-e2ployed
189;2;18;60076;other or not speci1ied
190;2;25;55125;technician/engineer
191;2;18;4915;college/grad student
192;2;18;10977;acade2ic/educator
193;1;45;44106;scientist
194;1;1;29146;K-12 student
195;2;25;10458;progra22er
196;1;35;94587;ho2e2aker
197;2;18;10023;sales/2arketing
198;2;25;55108;progra22er
199;2;18;83706;college/grad student
200;1;18;84321;college/grad student
201;1;35;55117;artist
202;2;18;53706;college/grad student
203;1;18;53715;college/grad student
204;2;25;92123;executive/2anagerial
205;2;35;97333;progra22er
206;2;25;20194;technician/engineer
207;2;25;94115;progra22er
208;2;35;55432;technician/engineer
209;2;35;90048;acade2ic/educator
210;1;1;25801;K-12 student
